ModelName xsex exsec BR xsec*BR exsec*BR
L350TeV_Ctau10000cm 0.00174708 1.01254e-05 1.0 0.001802 1.01254e-05
L350TeV_Ctau20000cm 0.00174708 1.01254e-05 1.0 0.001802 1.01254e-05
L400TeV_Ctau0_001cm 0.00079041 4.57145e-06 1.0 0.0007817 4.57145e-06
L400TeV_Ctau0_01cm 0.00079041 4.57145e-06 1.0 0.0007817 4.57145e-06
L400TeV_Ctau0_1cm 0.000798117 4.81392e-06 1.0 0.0007764 4.81392e-06
L400TeV_Ctau5cm 0.000798117 4.81392e-06 1.0 0.0007764 4.81392e-06
L400TeV_Ctau10cm 0.000790256 4.53309e-06 1.0 0.0007785 4.53309e-06
L400TeV_Ctau50cm 0.000790256 4.53309e-06 1.0 0.0007785 4.53309e-06
L400TeV_Ctau100cm 0.000790256 4.53309e-06 1.0 0.0007785 4.53309e-06
L400TeV_Ctau200cm 0.000790256 4.53309e-06 1.0 0.0007784 4.53309e-06
L400TeV_Ctau400cm 0.000790256 4.53309e-06 1.0 0.0007786 4.53309e-06
L400TeV_Ctau600cm 0.000790256 4.53309e-06 1.0 0.0007776 4.53309e-06
L400TeV_Ctau800cm 0.000793036 4.60814e-06 1.0 0.0007758 4.60814e-06
L400TeV_Ctau1000cm 0.000793036 4.60814e-06 1.0 0.0007779 4.60814e-06
L400TeV_Ctau1200cm 0.000793036 4.60814e-06 1.0 0.0007777 4.60814e-06
L400TeV_Ctau1400cm 0.000793036 4.60814e-06 1.0 0.0007777 4.60814e-06
L400TeV_Ctau10000cm 0.000793036 4.60814e-06 1.0 0.0007865 4.60814e-06
L400TeV_Ctau20000cm 0.000793036 4.60814e-06 1.0 0.0007865 4.60814e-06
